index,strat,end,trig,duration
GRB200829A,-62.668,-49.568,993768,13.100000000000001
GRB200819A,0.312,27.256,992099,26.944
GRB200809B,0.084,4.284,987745,4.2
GRB200806A,3.364,42.052,987016,38.688
GRB200729A,1.536,123.536,984929,122.0
GRB200716C,-0.036,86.536,982707,86.572
GRB200713A,21.14,63.112,982201,41.972
GRB200711A,-3.264,26.096,981957,29.36
GRB200701A,-5.12,33.66,980421,38.779999999999994
GRB200630A,-0.248,14.596,980210,14.844
GRB200612A,-1.204,424.72,977310,425.92400000000004
GRB200608A,20.648,142.2,976692,121.55199999999999
GRB200529A,1.096,81.012,974942,79.916
GRB200528A,4.74,64.724,974827,59.984
GRB200522A,-0.004,0.612,973628,0.616
GRB200519A,3.248,74.944,973140,71.696
GRB200512A,-0.864,73.136,971846,74.0
GRB200509A,3.364,831.592,970886,828.228
GRB200425A,-41.592,39.408,967774,81.0
GRB200416A,-1.808,4.24,966554,6.048
GRB200411A,-0.004,0.216,965784,0.22
GRB200410A,-62.768,45.952,965638,108.72
GRB200409A,-0.512,15.488,965484,16.0
GRB200306C,-8.816,44.336,960102,53.152
GRB200306A,3.32,36.284,959917,32.964
GRB200303A,-30.344,63.876,959431,94.22
GRB200228B,-0.58,6.788,958733,7.368
GRB200227A,2.336,32.664,958592,30.328000000000003
GRB200224A,-0.792,44.208,958141,45.0
GRB200219A,-15.6,272.4,957271,288.0
GRB200216B,0.488,67.936,956824,67.44800000000001
GRB200215A,-7.336,3.812,956639,11.148
GRB200205B,54.032,507.944,954519,453.91200000000003
GRB200131A,-1.964,30.776,953689,32.74
GRB200127A,-138.744,78.28,952791,217.024
GRB200125A,-15.472,334.864,952164,350.33599999999996
GRB200122A,1.884,192.48,950330,190.596
GRB200115A,-54.352,187.788,949361,242.14000000000001
GRB200109A,-31.448,80.552,948361,112.0
GRB200107B,-21.84,64.836,948219,86.676
GRB191228A,-31.964,161.852,946476,193.816
GRB191227A,-13.968,41.92,946344,55.888000000000005
GRB191221B,-15.28,32.72,945521,48.0
GRB191220A,-0.384,175.2,945344,175.58399999999997
GRB191218A,0.544,45.208,944916,44.664
GRB191213A,-19.024,99.968,944091,118.992
GRB191130A,2.08,19.64,03110538005,17.560000000000002
GRB191123A,-1.032,283.78,939079,284.81199999999995
GRB191122A,-6.52,119.216,938899,125.73599999999999
GRB191106A,-1.252,2.184,933515,3.436
GRB191101A,-16.48,126.228,932742,142.708
GRB191031D,-0.02,0.268,932608,0.28800000000000003
GRB191031C,-33.24,45.26,932595,78.5
GRB191031A,-4.248,7.884,932435,12.132000000000001
GRB191029A,-3.0,38.0,932058,41.0
GRB191024A,-0.584,6.5,931242,7.084
GRB191019A,1.34,65.688,930285,64.348
GRB191017B,-0.92,3.408,929981,4.328
GRB191016A,-28.976,97.704,929744,126.67999999999999
GRB191011A,0.016,7.368,928924,7.352
GRB191004B,0.864,300.992,927839,300.12800000000004
GRB191004A,-0.012,2.432,927825,2.444
GRB191001B,8.328,115.464,927345,107.136
GRB190926A,11.208,373.548,926515,362.34
GRB190829A,-50.552,6.344,922968,56.896
GRB190828B,-28.024,687.832,922808,715.856
GRB190824A,-62.976,106.384,922107,169.36
GRB190821A,-1.072,56.024,921722,57.096000000000004
GRB190816A,-118.448,257.312,920783,375.76
GRB190727B,-17.764,21.432,916733,39.196
GRB190719C,0.62,186.448,915381,185.828
GRB190718A,0.568,704.568,915091,704.0
GRB190706B,0.328,43.912,913302,43.583999999999996
GRB190701A,35.912,88.344,912310,52.431999999999995
GRB190630C,-0.588,37.796,912239,38.384
GRB190630B,-1.304,4.264,912102,5.5680000000000005
GRB190627A,0.12,2.812,911609,2.6919999999999997
GRB190613B,-2.232,158.588,908329,160.82
GRB190613A,1.744,19.376,908288,17.632
GRB190611A,-0.02,41.74,907950,41.760000000000005
GRB190610A,0.248,0.88,907754,0.632
GRB190604B,-4.708,215.468,906654,220.176
GRB190519A,-41.672,2.808,904394,44.48
GRB190515B,-20.136,26.376,903845,46.512
GRB190512A,-8.188,31.884,903357,40.072
GRB190511A,-21.792,5.872,903158,27.664
GRB190427A,-0.008,0.184,900730,0.192
GRB190424A,-0.804,9.032,900285,9.836
GRB190422A,18.252,287.268,899979,269.01599999999996
GRB190331A,-0.004,4.332,895813,4.335999999999999
GRB190326A,0.0,0.076,895006,0.076
GRB190324A,17.272,40.056,894718,22.784
GRB190320A,-23.2,39.8,893808,63.0
GRB190311A,-1.16,12.792,892607,13.952
GRB190220A,-0.12,9.88,889785,10.0
GRB190219A,-89.332,78.408,889748,167.74
GRB190211A,-9.44,1.456,888648,10.895999999999999
GRB190204A,-2.588,23.736,887579,26.324
GRB190203A,-48.6,37.96,887512,86.56
GRB190202A,-2.136,13.864,887217,16.0
GRB190123A,-0.34,24.784,885314,25.124
GRB190114C,0.26,374.984,883832,374.724
GRB190114B,0.168,26.66,883818,26.492
GRB190114A,128.068,195.164,883600,67.09599999999998
GRB190110A,0.152,9.456,883012,9.304
GRB190109B,-3.56,2.952,882809,6.5120000000000005
GRB190109A,12.256,127.264,882747,115.008
GRB190106A,1.856,79.952,882252,78.096
GRB190103B,-4.88,14.64,881709,19.52
GRB181228A,-0.96,254.192,879909,255.15200000000002
GRB181224A,-9.508,2.98,878911,12.488
GRB181213A,0.136,15.432,876016,15.296000000000001
GRB181203A,-0.812,14.248,874475,15.059999999999999
GRB181202A,0.02,6.58,874334,6.5600000000000005
GRB181126A,0.016,2.108,873539,2.092
GRB181125A,0.072,10.584,873433,10.512
GRB181123B,0.04,0.3,873186,0.26
GRB181110A,-39.268,99.156,871316,138.424
GRB181103A,-0.728,8.44,870201,9.168
GRB181030A,18.244,321.44,869494,303.196
GRB181027A,-7.956,73.348,868984,81.304
GRB181023A,-21.412,35.572,868427,56.984
GRB181022A,-1.156,6.78,868312,7.936
GRB181020A,0.796,238.812,867987,238.01600000000002
GRB181016A,-12.952,98.392,867252,111.344
GRB181013A,18.976,123.184,866783,104.208
GRB181010A,-2.376,13.188,866434,15.564
GRB181003A,-8.6,16.892,865179,25.491999999999997
GRB181002A,-22.872,40.536,865036,63.408
GRB180930A,-2.98,3.824,864584,6.804
GRB180925A,-3.48,79.152,863421,82.632
GRB180924A,-76.408,18.408,863186,94.816
GRB180905A,-47.26,118.084,859421,165.344
GRB180904A,1.332,5.964,859282,4.632000000000001
GRB180828A,-7.288,5.712,856977,13.0
GRB180823A,-29.268,51.028,855434,80.29599999999999
GRB180821A,1.0,65.0,854578,64.0
GRB180818B,-89.712,47.748,853882,137.46
GRB180818A,-1.6,12.112,853824,13.712
GRB180812A,-0.088,16.44,852903,16.528000000000002
GRB180809B,3.628,236.872,852553,233.24400000000003
